[ 2026-05-16 19:36:19,401 ] 19 root - INFO - Initiate the data ingestion
[ 2026-05-16 19:36:24,376 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-05-16 19:36:24,376 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-05-16 19:36:24,377 ] 75 root - INFO - Exporting train and test file path.
[ 2026-05-16 19:36:24,476 ] 84 root - INFO - Exported train and test file path.
[ 2026-05-16 19:36:24,477 ] 21 root - INFO - Data Initiation Completed
[ 2026-05-16 19:36:24,482 ] 25 root - INFO - Initiate the data Validation
[ 2026-05-16 19:36:24,594 ] 32 root - INFO - Required number of columns:2
[ 2026-05-16 19:36:24,595 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-16 19:36:24,595 ] 32 root - INFO - Required number of columns:2
[ 2026-05-16 19:36:24,595 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-16 19:36:24,768 ] 27 root - INFO - data Validation Completed
[ 2026-05-16 19:36:24,769 ] 30 root - INFO - data Transformation started
[ 2026-05-16 19:36:24,769 ] 54 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-05-16 19:36:24,769 ] 56 root - INFO - Starting data transformation
