[ 2026-05-17 13:28:31,628 ] 20 root - INFO - Initiate the data ingestion
[ 2026-05-17 13:28:37,279 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-05-17 13:28:37,279 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-05-17 13:28:37,280 ] 75 root - INFO - Exporting train and test file path.
[ 2026-05-17 13:28:37,432 ] 84 root - INFO - Exported train and test file path.
[ 2026-05-17 13:28:37,433 ] 22 root - INFO - Data Initiation Completed
[ 2026-05-17 13:28:37,439 ] 26 root - INFO - Initiate the data Validation
[ 2026-05-17 13:28:37,543 ] 32 root - INFO - Required number of columns:31
[ 2026-05-17 13:28:37,545 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-17 13:28:37,545 ] 32 root - INFO - Required number of columns:31
[ 2026-05-17 13:28:37,545 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-17 13:28:37,812 ] 28 root - INFO - data Validation Completed
[ 2026-05-17 13:28:37,812 ] 31 root - INFO - data Transformation started
[ 2026-05-17 13:28:37,812 ] 54 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-05-17 13:28:37,812 ] 56 root - INFO - Starting data transformation
[ 2026-05-17 13:28:37,868 ] 39 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-05-17 13:28:37,868 ] 44 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-17 13:28:37,894 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-17 13:28:37,899 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-17 13:28:37,899 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-17 13:28:37,903 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-17 13:28:37,909 ] 35 root - INFO - data Transformation completed
[ 2026-05-17 13:28:37,909 ] 37 root - INFO - Model Training sstared
[ 2026-05-17 13:40:14,031 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-17 13:40:14,061 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-17 13:40:14,062 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-17 13:40:14,105 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-17 13:40:14,105 ] 216 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_17_2026_13_28_27\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911620625220948, precision_score=0.9877201811776548, recall_score=0.9946280154064464), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9847094801223242, precision_score=0.9829059829059829, recall_score=0.9865196078431373))
[ 2026-05-17 13:40:14,110 ] 42 root - INFO - Model Training artifact created
